Event: 9412, Lumi: 95, Run: 1
Event: 9413, Lumi: 95, Run: 1
Event: 9414, Lumi: 95, Run: 1
Event: 9415, Lumi: 95, Run: 1
Event: 9416, Lumi: 95, Run: 1
Event: 9417, Lumi: 95, Run: 1
Event: 9418, Lumi: 95, Run: 1
Event: 9419, Lumi: 95, Run: 1
Event: 9420, Lumi: 95, Run: 1
Event: 9421, Lumi: 95, Run: 1
Event: 9423, Lumi: 95, Run: 1
Event: 9424, Lumi: 95, Run: 1
Event: 9425, Lumi: 95, Run: 1
Event: 9426, Lumi: 95, Run: 1
Event: 9427, Lumi: 95, Run: 1
Event: 9428, Lumi: 95, Run: 1
Event: 9429, Lumi: 95, Run: 1
Event: 9430, Lumi: 95, Run: 1
Event: 9432, Lumi: 95, Run: 1
Event: 9433, Lumi: 95, Run: 1
Event: 9435, Lumi: 95, Run: 1
Event: 9436, Lumi: 95, Run: 1
Event: 9437, Lumi: 95, Run: 1
Event: 9438, Lumi: 95, Run: 1
Event: 9439, Lumi: 95, Run: 1
Event: 9440, Lumi: 95, Run: 1
Event: 9441, Lumi: 95, Run: 1
Event: 9442, Lumi: 95, Run: 1
Event: 9443, Lumi: 95, Run: 1
Event: 9444, Lumi: 95, Run: 1
Event: 9445, Lumi: 95, Run: 1
Event: 9446, Lumi: 95, Run: 1
Event: 9447, Lumi: 95, Run: 1
Event: 9448, Lumi: 95, Run: 1
Event: 9449, Lumi: 95, Run: 1
Event: 9450, Lumi: 95, Run: 1
Event: 9451, Lumi: 95, Run: 1
Event: 9452, Lumi: 95, Run: 1
Event: 9453, Lumi: 95, Run: 1
Event: 9454, Lumi: 95, Run: 1
Event: 9455, Lumi: 95, Run: 1
Event: 9456, Lumi: 95, Run: 1
Event: 9457, Lumi: 95, Run: 1
Event: 9458, Lumi: 95, Run: 1
Event: 9459, Lumi: 95, Run: 1
Event: 9461, Lumi: 95, Run: 1
Event: 9462, Lumi: 95, Run: 1
Event: 9463, Lumi: 95, Run: 1
Event: 9465, Lumi: 95, Run: 1
Event: 9466, Lumi: 95, Run: 1
Event: 9467, Lumi: 95, Run: 1
Event: 9468, Lumi: 95, Run: 1
Event: 9469, Lumi: 95, Run: 1
Event: 9470, Lumi: 95, Run: 1
Event: 9471, Lumi: 95, Run: 1
Event: 9472, Lumi: 95, Run: 1
Event: 9473, Lumi: 95, Run: 1
Event: 9474, Lumi: 95, Run: 1
Event: 9475, Lumi: 95, Run: 1
Event: 9476, Lumi: 95, Run: 1
Event: 9477, Lumi: 95, Run: 1
Event: 9478, Lumi: 95, Run: 1
Event: 9479, Lumi: 95, Run: 1
Event: 9480, Lumi: 95, Run: 1
Event: 9482, Lumi: 95, Run: 1
Event: 9483, Lumi: 95, Run: 1
Event: 9485, Lumi: 95, Run: 1
Event: 9486, Lumi: 95, Run: 1
Event: 9487, Lumi: 95, Run: 1
Event: 9488, Lumi: 95, Run: 1
Event: 9489, Lumi: 95, Run: 1
Event: 9490, Lumi: 95, Run: 1
Event: 9491, Lumi: 95, Run: 1
Event: 9493, Lumi: 95, Run: 1
Event: 9494, Lumi: 95, Run: 1
Event: 9496, Lumi: 95, Run: 1
Event: 9497, Lumi: 95, Run: 1
Event: 9498, Lumi: 95, Run: 1
Event: 9499, Lumi: 95, Run: 1
Event: 9500, Lumi: 95, Run: 1
